No,Name,State,Code,Lat,Lon
146,Institut Pendidikan Guru (IPG) (Kampus Darulaman),Kedah,,,
147,Institut Pendidikan Guru (IPG) (Kampus Dato' Razali Ismail),Terengganu,,,
148,Institut Pendidikan Guru (IPG) (Kampus Ipoh),Perak,,,
149,Institut Pendidikan Guru (IPG) (Kampus Keningau),Sabah,,,
150,Institute of Teacher Education Kent Campus,Sabah,,,
151,Institut Pendidikan Guru (IPG) (Kampus Perlis),Perlis,,,
152,Institut Pendidikan Guru (IPG) (Kampus Pulau Pinang),Penang,,,
153,Institute of Teacher Education Rajang Campus,Sarawak,,,
154,Institut Pendidikan Guru (IPG) (Kampus Sarawak),Sarawak,,,
155,Institut Pendidikan Guru (IPG) (Kampus Sultan Abdul Halim),Kedah,,,
156,Institut Pendidikan Guru (IPG) (Kampus Tawau),Sabah,,,
157,Institut Pendidikan Guru (IPG) (Kampus Temenggong Ibrahim),Johor,,,
158,Institute of Teachers Education Tengku Ampuan Campus,Pahang,,,
159,Institut Pendidikan Guru (IPG) (Kampus Tuanku Bainun),Penang,,,
160,Institut Pendidikan Guru (IPG) (Kampus Tun Hussein Onn),Johor,,,
161,Institute of Teacher Education International Languages Campus,Wilayah Persekutuan Kuala Lumpur,14,3.121956208,101.6655313
162,Teacher Education Institute Batu Lintang Campus,Sarawak,,,
163,Institute of Teacher Education Gaya Campus,Sabah,,,
164,Institute of Teacher Education Ilmu Khas Campus,Wilayah Persekutuan Kuala Lumpur,14,3.10833345,101.7253516
165,Institute of Teacher Education Kota Bharu Campus,Kelantan,,,
166,Institute of Teacher Education Islamic Education Campus,Selangor,10,2.947839218,101.747921
167,Institute of Teacher Education Technical Education Campus,Negeri Sembilan,,,
168,Institute of Teacher Education Malay Women Campus,Malacca,,,
169,Teacher Education Institute Raja Melewar Campus,Negeri Sembilan,,,
170,Institute of Teacher Education Sultan Mizan Campus,Terengganu,,,
171,Institute of Teacher Education Tun Abdul Razak Campus,Sarawak,,,
172,Institute of Teacher Education Malaysia,Selangor,10,2.924481895,101.6635326
173,Institut Pengajian Islam dan Dakwah Sabah (IPDAS),Sabah,,,
174,Agricultural Institute of Ayer Hitam,Johor,,,
175,Agricultural Institute of Bumbong Lima,Penang,,,
176,Agricultural Institute of Sabah,Sabah,,,
177,Agricultural Institute of Sarawak,Sarawak,,,
178,Agricultural Institute of Serdang,Selangor,10,3.006383359,101.7007111
179,National Institute of Public Administration (INTAN),Wilayah Persekutuan Kuala Lumpur,14,3.141051965,101.650148
180,Japan Malaysia Technical Institute (JMTI),Penang,,,
181,Kolej Vokasional Kajang,Selangor,10,2.98713154,101.8134383
182,Kolej Vokasional Klang,Selangor,10,3.014169378,101.4356347
183,Kolej Vokasional Kota Tinggi,Johor,,,
184,Kolej Vokasional Kuala Krai,Kelantan,,,
185,Seri Manjung Vocational College,Perak,,,
186,Kolej Vokasional Setapak,Wilayah Persekutuan Kuala Lumpur,14,3.20600313,101.7269857
187,Kolej Vokasional Sultan Haji Ahmad Shah Al-Musta’in Billah,Pahang,,,
188,Kolej Vokasional Temerloh,Pahang,,,
189,Kolej Vokasional Tengku Ampuan Afzan,Pahang,,,
190,Kolej Kemahiran Tinggi MARA Balik Pulau,Penang,,,
191,Kolej Kemahiran Tinggi MARA Kemaman,Terengganu,,,
192,Kolej Kemahiran Tinggi MARA Kuantan,Pahang,,,
193,Kolej Kemahiran Tinggi MARA Ledang,Johor,,,
194,Kolej Kemahiran Tinggi MARA Lenggong,Perak,,,
195,Kolej Kemahiran Tinggi MARA Masjid Tanah,Malacca,,,
196,Kolej Kemahiran Tinggi MARA Pasir Mas,Kelantan,,,
197,Kolej Kemahiran Tinggi MARA Petaling Jaya,Selangor,10,3.08393503,101.6546816
198,Kolej Kemahiran Tinggi MARA Rembau,Negeri Sembilan,,,
199,Kolej Kemahiran Tinggi MARA Sri Gading,Johor,,,
200,Community College (Bukit Mertajam Branch),Penang,,,
201,Ampang Community College,Selangor,10,3.152925774,101.7754542
202,Arau Community College,Perlis,,,
203,Bagan Datuk Community College,Perak,,,
204,Bagan Serai Community College,Perak,,,
205,Baling Community College,Kedah,,,
206,Bandar Baharu Community College,Kedah,,,
207,Bandar Darulaman Community College,Kedah,,,
208,Bandar Penawar Community College,Johor,,,
209,Bandar Tenggara Community College,Johor,,,
210,Batu Gajah Community College,Perak,,,
